tweet_text,username,tweet_link,video_url,timestamp,likes,reposts,keyword,context
Just saw an incredible demo of Self-driving cars -- the future is here!,RoboStartup,https://x.com/DLPaperReview/status/348336168808783666,https://video.twimg.com/ext_tw_video/5324083257/pu/vid/1280x720/demo_0.mp4,2026-05-18 02:04:13,15735,1805,Self-driving cars,Autonomous Vehicles
Thread: Why Self-driving cars will change everything in the next 5 years.,AIResearchLab,https://x.com/RoboticsToday/status/735114604911791166,https://video.twimg.com/ext_tw_video/5407949985/pu/vid/1280x720/demo_1.mp4,2026-05-20 17:04:13,16155,1920,Self-driving cars,Autonomous Vehicles
Our team just published results on Self-driving cars. Link in bio!,DLPaperReview,https://x.com/EmbeddedSysGuy/status/581133349324882985,https://video.twimg.com/ext_tw_video/7378612303/pu/vid/1280x720/demo_2.mp4,2026-05-19 11:04:13,20287,4338,Self-driving cars,Autonomous Vehicles
Hot take: Self-driving cars is overhyped... but the tech underneath is legit.,GameDevML,https://x.com/CodeCraftsman/status/506244088832173810,https://video.twimg.com/ext_tw_video/9959520964/pu/vid/1280x720/demo_3.mp4,2026-04-28 06:04:13,22278,1675,Self-driving cars,Autonomous Vehicles
Breaking: major breakthrough in Self-driving cars announced today at the conference.,EmbeddedSysGuy,https://x.com/NeuralNetNinja/status/326340074356140661,https://video.twimg.com/ext_tw_video/7552985614/pu/vid/1280x720/demo_4.mp4,2026-04-28 10:04:13,10786,3220,Self-driving cars,Autonomous Vehicles
I've been working on Self-driving cars for 3 years and this is the best demo yet.,SportsAI_Hub,https://x.com/CodeCraftsman/status/258518432489388051,https://video.twimg.com/ext_tw_video/5880198390/pu/vid/1280x720/demo_5.mp4,2026-05-03 15:04:13,4386,4766,Self-driving cars,Autonomous Vehicles
New open-source toolkit for Self-driving cars just dropped -- check it out!,ChipDesigner01,https://x.com/QuantumDev/status/954367789514636518,https://video.twimg.com/ext_tw_video/5960356205/pu/vid/1280x720/demo_6.mp4,2026-04-26 08:04:13,6701,6265,Self-driving cars,Autonomous Vehicles
Really impressed by the latest advances in Self-driving cars. Here's my analysis:,DLPaperReview,https://x.com/SemiconWatch/status/534068847278386315,https://video.twimg.com/ext_tw_video/1719687422/pu/vid/1280x720/demo_7.mp4,2026-04-30 12:04:13,15183,4568,Self-driving cars,Autonomous Vehicles
Unpopular opinion: Self-driving cars needs more regulation before mass adoption.,RoboStartup,https://x.com/CodeCraftsman/status/817277108850257906,https://video.twimg.com/ext_tw_video/9179906311/pu/vid/1280x720/demo_8.mp4,2026-04-29 01:04:13,9974,5256,Self-driving cars,Autonomous Vehicles
Live from the expo: Self-driving cars demo blew everyone's mind!,RoboStartup,https://x.com/AIResearchLab/status/516455483920591814,https://video.twimg.com/ext_tw_video/7574002647/pu/vid/1280x720/demo_9.mp4,2026-04-21 18:04:13,3779,5228,Self-driving cars,Autonomous Vehicles
My students asked about Self-driving cars today -- here's what I told them.,MLEngineer_Pro,https://x.com/AutoMLRunner/status/102166129276511322,https://video.twimg.com/ext_tw_video/4985636756/pu/vid/1280x720/demo_10.mp4,2026-05-17 15:04:13,111,2376,Self-driving cars,Autonomous Vehicles
Comparing the top 5 tools for Self-driving cars -- full review coming soon!,RoboStartup,https://x.com/AutoMLRunner/status/188453960034917796,https://video.twimg.com/ext_tw_video/5213579095/pu/vid/1280x720/demo_11.mp4,2026-05-21 17:04:13,12042,2625,Self-driving cars,Autonomous Vehicles
"If you're not paying attention to Self-driving cars, you're falling behind.",AutoMLRunner,https://x.com/GameDevML/status/941356329272352280,https://video.twimg.com/ext_tw_video/1961622365/pu/vid/1280x720/demo_12.mp4,2026-05-10 20:04:13,15640,3495,Self-driving cars,Autonomous Vehicles
Amazing progress in Self-driving cars! Benchmarks are up 40% from last year.,DeepMindFan,https://x.com/TechInnovator42/status/200100319508413322,https://video.twimg.com/ext_tw_video/5906848507/pu/vid/1280x720/demo_13.mp4,2026-04-21 21:04:13,17760,7011,Self-driving cars,Autonomous Vehicles
The intersection of Self-driving cars and sustainability is underexplored.,FutureOfTech,https://x.com/DataScienceGuru/status/376824182949111856,https://video.twimg.com/ext_tw_video/3974567509/pu/vid/1280x720/demo_14.mp4,2026-05-01 23:04:13,21127,7562,Self-driving cars,Autonomous Vehicles
Watching Self-driving cars evolve in real-time is a privilege. What a time to be alive!,AIResearchLab,https://x.com/AIResearchLab/status/638163808457302051,https://video.twimg.com/ext_tw_video/4339347245/pu/vid/1280x720/demo_15.mp4,2026-05-07 19:04:13,8901,7434,Self-driving cars,Autonomous Vehicles
Quick tutorial: getting started with Self-driving cars in 10 minutes.,RoboStartup,https://x.com/TechInnovator42/status/525742813097433166,https://video.twimg.com/ext_tw_video/8262864936/pu/vid/1280x720/demo_16.mp4,2026-05-20 23:04:13,1119,7246,Self-driving cars,Autonomous Vehicles
Industry report: Self-driving cars market projected to reach $50B by 2030.,GameDevML,https://x.com/TechInnovator42/status/222235490216214013,https://video.twimg.com/ext_tw_video/8143894951/pu/vid/1280x720/demo_17.mp4,2026-04-23 00:04:13,16451,2955,Self-driving cars,Autonomous Vehicles
Debate: Is Self-driving cars ready for production use? My thoughts below.,AutoMLRunner,https://x.com/CricketAnalytics/status/490711251889975927,https://video.twimg.com/ext_tw_video/4815399434/pu/vid/1280x720/demo_18.mp4,2026-05-09 21:04:13,11292,4349,Self-driving cars,Autonomous Vehicles
Shout-out to the open-source community pushing Self-driving cars forward!,QuantumDev,https://x.com/QuantumDev/status/826757483053952338,https://video.twimg.com/ext_tw_video/7098893514/pu/vid/1280x720/demo_19.mp4,2026-04-27 11:04:13,15096,6004,Self-driving cars,Autonomous Vehicles
Just saw an incredible demo of Sports highlights -- the future is here!,TechVlogger,https://x.com/OpenSourceDev/status/656033673702739863,https://video.twimg.com/ext_tw_video/7183587051/pu/vid/1280x720/demo_0.mp4,2026-05-06 11:04:43,24582,4793,Sports highlights,Sports & Entertainment
Thread: Why Sports highlights will change everything in the next 5 years.,DeepMindFan,https://x.com/GameDevML/status/959924116895244579,https://video.twimg.com/ext_tw_video/2357862108/pu/vid/1280x720/demo_1.mp4,2026-05-15 12:04:43,21473,7180,Sports highlights,Sports & Entertainment
Our team just published results on Sports highlights. Link in bio!,QuantumDev,https://x.com/DeepMindFan/status/204042336940232555,https://video.twimg.com/ext_tw_video/3632599591/pu/vid/1280x720/demo_2.mp4,2026-05-04 00:04:43,14258,5921,Sports highlights,Sports & Entertainment
Hot take: Sports highlights is overhyped... but the tech underneath is legit.,SportsAI_Hub,https://x.com/VisionAI_Lab/status/941423656347855445,https://video.twimg.com/ext_tw_video/4925624700/pu/vid/1280x720/demo_3.mp4,2026-04-26 07:04:43,9258,4326,Sports highlights,Sports & Entertainment
Breaking: major breakthrough in Sports highlights announced today at the conference.,AutoDriveEng,https://x.com/FutureOfTech/status/678336464507972201,https://video.twimg.com/ext_tw_video/4824762198/pu/vid/1280x720/demo_4.mp4,2026-04-28 06:04:43,11867,4734,Sports highlights,Sports & Entertainment
I've been working on Sports highlights for 3 years and this is the best demo yet.,ChipDesigner01,https://x.com/MLEngineer_Pro/status/203004882661477162,https://video.twimg.com/ext_tw_video/4061951874/pu/vid/1280x720/demo_5.mp4,2026-05-08 02:04:43,24668,6942,Sports highlights,Sports & Entertainment
New open-source toolkit for Sports highlights just dropped -- check it out!,NeuralNetNinja,https://x.com/MLEngineer_Pro/status/219385224431053048,https://video.twimg.com/ext_tw_video/4530748605/pu/vid/1280x720/demo_6.mp4,2026-05-17 08:04:43,23071,3775,Sports highlights,Sports & Entertainment
Really impressed by the latest advances in Sports highlights. Here's my analysis:,SemiconWatch,https://x.com/TechInnovator42/status/129912394668283326,https://video.twimg.com/ext_tw_video/1668395927/pu/vid/1280x720/demo_7.mp4,2026-05-20 06:04:43,19403,7415,Sports highlights,Sports & Entertainment
Unpopular opinion: Sports highlights needs more regulation before mass adoption.,SportsAI_Hub,https://x.com/ChipDesigner01/status/180476915334674319,https://video.twimg.com/ext_tw_video/1172675549/pu/vid/1280x720/demo_8.mp4,2026-04-26 00:04:43,3687,2474,Sports highlights,Sports & Entertainment
Live from the expo: Sports highlights demo blew everyone's mind!,EmbeddedSysGuy,https://x.com/MLEngineer_Pro/status/114500518031604328,https://video.twimg.com/ext_tw_video/8860201815/pu/vid/1280x720/demo_9.mp4,2026-05-14 20:04:43,20264,7426,Sports highlights,Sports & Entertainment
My students asked about Sports highlights today -- here's what I told them.,DataScienceGuru,https://x.com/VisionAI_Lab/status/526721676173054319,https://video.twimg.com/ext_tw_video/4364985649/pu/vid/1280x720/demo_10.mp4,2026-04-30 05:04:43,5144,4860,Sports highlights,Sports & Entertainment
Comparing the top 5 tools for Sports highlights -- full review coming soon!,AutoMLRunner,https://x.com/SportsAI_Hub/status/318439571292244656,https://video.twimg.com/ext_tw_video/4334020121/pu/vid/1280x720/demo_11.mp4,2026-05-01 10:04:43,12043,5847,Sports highlights,Sports & Entertainment
"If you're not paying attention to Sports highlights, you're falling behind.",SemiconWatch,https://x.com/TechInnovator42/status/339065637082355197,https://video.twimg.com/ext_tw_video/6272250598/pu/vid/1280x720/demo_12.mp4,2026-05-04 21:04:43,2574,2267,Sports highlights,Sports & Entertainment
Amazing progress in Sports highlights! Benchmarks are up 40% from last year.,MLEngineer_Pro,https://x.com/AutoDriveEng/status/990085159932375594,https://video.twimg.com/ext_tw_video/9294586722/pu/vid/1280x720/demo_13.mp4,2026-05-17 02:04:43,9130,6975,Sports highlights,Sports & Entertainment
The intersection of Sports highlights and sustainability is underexplored.,SemiconWatch,https://x.com/TechInnovator42/status/875204315900923489,https://video.twimg.com/ext_tw_video/9612816389/pu/vid/1280x720/demo_14.mp4,2026-04-25 10:04:43,2766,535,Sports highlights,Sports & Entertainment
Watching Sports highlights evolve in real-time is a privilege. What a time to be alive!,AIResearchLab,https://x.com/GameDevML/status/733731649329960344,https://video.twimg.com/ext_tw_video/1872557306/pu/vid/1280x720/demo_15.mp4,2026-05-08 14:04:43,13352,7720,Sports highlights,Sports & Entertainment
Quick tutorial: getting started with Sports highlights in 10 minutes.,SiliconValleyAI,https://x.com/QuantumDev/status/336965441700227460,https://video.twimg.com/ext_tw_video/5777122659/pu/vid/1280x720/demo_16.mp4,2026-05-13 21:04:43,17299,2516,Sports highlights,Sports & Entertainment
Industry report: Sports highlights market projected to reach $50B by 2030.,MLEngineer_Pro,https://x.com/AutoMLRunner/status/848514954558791487,https://video.twimg.com/ext_tw_video/1391639602/pu/vid/1280x720/demo_17.mp4,2026-04-26 00:04:43,13581,5434,Sports highlights,Sports & Entertainment
Debate: Is Sports highlights ready for production use? My thoughts below.,DLPaperReview,https://x.com/EmbeddedSysGuy/status/842666416760480279,https://video.twimg.com/ext_tw_video/7684352132/pu/vid/1280x720/demo_18.mp4,2026-04-26 15:04:43,1094,1464,Sports highlights,Sports & Entertainment
Shout-out to the open-source community pushing Sports highlights forward!,FutureOfTech,https://x.com/SportsAI_Hub/status/423072494744565044,https://video.twimg.com/ext_tw_video/1451159441/pu/vid/1280x720/demo_19.mp4,2026-04-23 19:04:43,6522,2398,Sports highlights,Sports & Entertainment
